width,q,F,iterationNumber,seed,s_max,s_mean,is_frozen,steps_to_freeze,N
20,2,3,328,392758087,1.0,1.0,True,606982,
20,2,3,404,392430402,1.0,1.0,True,1108642,
20,2,3,36,338035475,1.0,1.0,True,1166415,
20,2,3,311,392168255,1.0,1.0,True,996021,
20,2,3,385,393347914,1.0,1.0,True,380964,
20,2,3,433,392758084,1.0,1.0,True,762057,
20,2,3,274,392954695,1.0,1.0,True,590722,
20,2,3,291,393020230,1.0,1.0,True,539989,
20,2,3,294,393216841,1.0,1.0,True,986857,
20,2,3,312,392233792,1.0,1.0,True,792024,
20,2,3,264,392823622,1.0,1.0,True,946509,
20,2,3,192,392889158,1.0,1.0,True,423274,
20,2,3,90,338428691,1.0,1.0,True,630247,
20,2,3,261,392627011,1.0,1.0,True,841745,
20,2,3,154,392495940,1.0,1.0,True,514763,
20,2,3,434,392823621,1.0,1.0,True,902721,
20,2,3,380,393020229,1.0,1.0,True,729441,
20,2,3,359,393216843,1.0,1.0,True,1198177,
20,2,3,373,393085767,1.0,1.0,True,1014502,
20,2,3,64,338297620,1.0,1.0,True,304196,
20,2,3,3,286458589,1.0,1.0,True,491528,
20,2,3,476,393478987,1.0,1.0,True,1106271,
20,2,3,268,393085770,1.0,1.0,True,502859,
20,2,3,42,337904400,1.0,1.0,True,629100,
20,2,3,371,392954693,1.0,1.0,True,384129,
20,2,3,135,392299331,1.0,1.0,True,1292269,
20,2,3,193,392954695,1.0,1.0,True,590722,
20,2,3,102,391709501,1.0,1.0,True,564918,
20,2,3,226,392430404,1.0,1.0,True,634474,
20,2,3,400,392168254,1.0,1.0,True,565949,
20,2,3,454,393085767,1.0,1.0,True,1014502,
20,2,3,394,393413450,1.0,1.0,True,509537,
20,2,3,123,392037184,1.0,1.0,True,663905,
20,2,3,463,393151303,1.0,1.0,True,543407,
20,2,3,144,392364867,1.0,1.0,True,872239,
20,2,3,172,392627012,1.0,1.0,True,719645,
20,2,3,444,392954694,1.0,1.0,True,621039,
20,2,3,415,392627012,1.0,1.0,True,719645,
20,2,3,158,392758088,1.0,1.0,True,304781,
20,2,3,30,337642253,1.0,1.0,True,939389,
20,2,3,176,392889160,1.0,1.0,True,441253,
20,2,3,497,393806670,1.0,1.0,True,520295,
20,2,3,348,393020233,1.0,1.0,True,716413,
20,2,3,80,338297618,1.0,1.0,True,688920,
20,2,3,38,338166549,1.0,1.0,True,389511,
20,2,3,498,393872207,1.0,1.0,True,789183,
20,2,3,101,391643964,1.0,1.0,True,283795,
20,2,3,374,393151304,1.0,1.0,True,317661,
20,2,3,19,337969940,1.0,1.0,True,403406,
20,2,3,182,392758085,1.0,1.0,True,541484,
20,2,3,320,392233791,1.0,1.0,True,1129867,
20,2,3,168,392889161,1.0,1.0,True,507195,
20,2,3,61,338101009,1.0,1.0,True,595916,
20,2,3,211,391971646,1.0,1.0,True,1045188,
20,2,3,351,392692547,1.0,1.0,True,605477,
20,2,3,169,392954698,1.0,1.0,True,1514213,
20,2,3,324,392495939,1.0,1.0,True,573248,
20,2,3,25,337838865,1.0,1.0,True,310566,
20,2,3,405,392495939,1.0,1.0,True,573248,
20,2,3,350,392627010,1.0,1.0,True,459251,
20,2,3,450,392823619,1.0,1.0,True,1217764,
20,2,3,309,392561478,1.0,1.0,True,388164,
20,2,3,59,338494232,1.0,1.0,True,754864,
20,2,3,257,392889160,1.0,1.0,True,441253,
20,2,3,338,392889160,1.0,1.0,True,441253,
20,2,3,256,392823623,1.0,1.0,True,427268,
20,2,3,236,392561477,1.0,1.0,True,941628,
20,2,3,76,338559767,1.0,1.0,True,443121,
20,2,3,487,393675597,1.0,1.0,True,1625570,
20,2,3,388,393544525,1.0,1.0,True,764684,
20,2,3,286,393216842,1.0,1.0,True,948319,
20,2,3,17,337838866,1.0,1.0,True,814551,
20,2,3,47,338232085,1.0,1.0,True,1028624,
20,2,3,332,392495938,1.0,1.0,True,277101,
20,2,3,466,393347914,1.0,1.0,True,380964,
20,2,3,482,393347912,1.0,1.0,True,764202,
20,2,3,358,393151306,1.0,1.0,True,766529,
20,2,3,186,393020233,1.0,1.0,True,716413,
20,2,3,20,337511180,1.0,1.0,True,683618,
20,2,3,306,392364867,1.0,1.0,True,872239,
20,2,3,345,392823622,1.0,1.0,True,946509,
20,2,3,27,337969939,1.0,1.0,True,301457,
20,2,3,362,392889157,1.0,1.0,True,447432,
20,2,3,153,392430403,1.0,1.0,True,1493845,
20,2,3,390,393151302,1.0,1.0,True,590182,
20,2,3,492,393478985,1.0,1.0,True,297323,
20,2,3,353,392823621,1.0,1.0,True,902721,
20,2,3,481,393282375,1.0,1.0,True,743785,
20,2,3,459,393413452,1.0,1.0,True,382896,
20,2,3,365,393085768,1.0,1.0,True,1672940,
20,2,3,347,392954696,1.0,1.0,True,583481,
20,2,3,241,392364865,1.0,1.0,True,355549,
20,2,3,315,392430403,1.0,1.0,True,1493845,
20,2,3,446,393085768,1.0,1.0,True,1672940,
20,2,3,479,393675598,1.0,1.0,True,759260,
20,2,3,28,338035476,1.0,1.0,True,411286,
20,2,3,171,392561475,1.0,1.0,True,1029215,
20,2,3,465,393282377,1.0,1.0,True,489799,
20,2,3,163,392561476,1.0,1.0,True,799352,
20,2,3,263,392758085,1.0,1.0,True,541484,
20,2,3,85,338625303,1.0,1.0,True,487069,
20,2,3,160,392364865,1.0,1.0,True,355549,
20,2,3,445,393020231,1.0,1.0,True,757842,
20,2,3,97,338887450,1.0,1.0,True,432904,
20,2,3,247,392758087,1.0,1.0,True,606982,
20,2,3,72,338297619,1.0,1.0,True,323944,
20,2,3,408,392692550,1.0,1.0,True,658286,
20,2,3,195,393085769,1.0,1.0,True,542022,
20,2,3,225,392364867,1.0,1.0,True,872239,
20,2,3,134,392233794,1.0,1.0,True,1241854,
20,2,3,275,393020232,1.0,1.0,True,758828,
20,2,3,87,338756377,1.0,1.0,True,519356,
20,2,3,423,392627011,1.0,1.0,True,841745,
20,2,3,115,392037185,1.0,1.0,True,335359,
20,2,3,430,392561473,1.0,1.0,True,860161,
20,2,3,220,392037182,1.0,1.0,True,516632,
20,2,3,442,392823620,1.0,1.0,True,364354,
20,2,3,325,392561476,1.0,1.0,True,799352,
20,2,3,369,393347916,1.0,1.0,True,326943,
20,2,3,491,393413448,1.0,1.0,True,1708787,
20,2,3,50,337904399,1.0,1.0,True,732355,
20,2,3,18,337904403,1.0,1.0,True,1109260,
20,2,3,35,337969938,1.0,1.0,True,471317,
20,2,3,240,392299328,1.0,1.0,True,701035,
20,2,3,287,393282379,1.0,1.0,True,815888,
20,2,3,266,392954696,1.0,1.0,True,583481,
20,2,3,200,391775036,1.0,1.0,True,780444,
20,2,3,10,337380107,1.0,1.0,True,661693,
20,2,3,412,392430401,1.0,1.0,True,404730,
20,2,3,131,392037183,1.0,1.0,True,604054,
20,2,3,217,392364868,1.0,1.0,True,581580,
20,2,3,221,392102719,1.0,1.0,True,747951,
20,2,3,122,391971647,1.0,1.0,True,522662,
20,2,3,181,392692548,1.0,1.0,True,1051608,
20,2,3,414,392561475,1.0,1.0,True,1029215,
20,2,3,383,393216840,1.0,1.0,True,793889,
20,2,3,368,393282379,1.0,1.0,True,815888,
20,2,3,248,392823624,1.0,1.0,True,910093,
20,2,3,108,392102723,1.0,1.0,True,930269,
20,2,3,376,393282378,1.0,1.0,True,1156914,
20,2,3,110,391709500,1.0,1.0,True,650165,
20,2,3,210,391906109,1.0,1.0,True,305540,
20,2,3,289,393413453,1.0,1.0,True,989225,
20,2,3,65,338363157,1.0,1.0,True,595218,
20,2,3,229,392627015,1.0,1.0,True,1369574,
20,2,3,489,393806671,1.0,1.0,True,590460,
20,2,3,494,393610059,1.0,1.0,True,437318,
20,2,3,323,392430402,1.0,1.0,True,1108642,
20,2,3,191,392823621,1.0,1.0,True,902721,
20,2,3,352,392758084,1.0,1.0,True,762057,
20,2,3,273,392889158,1.0,1.0,True,423274,
20,2,3,341,392561474,1.0,1.0,True,1461883,
20,2,3,271,392758084,1.0,1.0,True,762057,
20,2,3,60,338035472,1.0,1.0,True,463971,
20,2,3,174,392758086,1.0,1.0,True,575705,
20,2,3,308,392495941,1.0,1.0,True,559046,
20,2,3,356,393020232,1.0,1.0,True,758828,
20,2,3,32,337773327,1.0,1.0,True,732769,
20,2,3,208,392299332,1.0,1.0,True,414745,
20,2,3,77,338625304,1.0,1.0,True,1145481,
20,2,3,113,391906111,1.0,1.0,True,542308,
20,2,3,224,392299330,1.0,1.0,True,407076,
20,2,3,26,337904402,1.0,1.0,True,674509,
20,2,3,86,338690840,1.0,1.0,True,280898,
20,2,3,484,393478986,1.0,1.0,True,578092,
20,2,3,296,393347915,1.0,1.0,True,256647,
20,2,3,317,392561477,1.0,1.0,True,941628,
20,2,3,13,337576718,1.0,1.0,True,757856,
20,2,3,449,393282379,1.0,1.0,True,815888,
20,2,3,212,392037183,1.0,1.0,True,604054,
20,2,3,455,393151304,1.0,1.0,True,317661,
20,2,3,243,392495939,1.0,1.0,True,573248,
20,2,3,431,392627010,1.0,1.0,True,459251,
20,2,3,305,392299330,1.0,1.0,True,407076,
20,2,3,399,393741135,1.0,1.0,True,292359,
20,2,3,456,393216841,1.0,1.0,True,986857,
20,2,3,52,338035473,1.0,1.0,True,908709,
20,2,3,398,393675598,1.0,1.0,True,759260,
20,2,3,471,393151302,1.0,1.0,True,590182,
20,2,3,295,393282378,1.0,1.0,True,1156914,
20,2,3,119,392299333,1.0,1.0,True,1430032,
20,2,3,228,392561478,1.0,1.0,True,388164,
20,2,3,483,393413449,1.0,1.0,True,914869,
20,2,3,396,393544524,1.0,1.0,True,1719018,
20,2,3,339,392954697,1.0,1.0,True,1087914,
20,2,3,488,393741134,1.0,1.0,True,480254,
20,2,3,121,391906110,1.0,1.0,True,537546,
20,2,3,40,337773326,1.0,1.0,True,1765723,
20,2,3,147,392561478,1.0,1.0,True,388164,
20,2,3,469,393544525,1.0,1.0,True,764684,
20,2,3,162,392495939,1.0,1.0,True,573248,
20,2,3,55,338232084,1.0,1.0,True,800406,
20,2,3,357,393085769,1.0,1.0,True,542022,
20,2,3,14,337642255,1.0,1.0,True,1119387,
20,2,3,6,286655200,1.0,1.0,True,1010961,
20,2,3,401,392233791,1.0,1.0,True,1129867,
20,2,3,188,393151307,1.0,1.0,True,768980,
20,2,3,62,338166546,1.0,1.0,True,1695211,
20,2,3,284,393085768,1.0,1.0,True,1672940,
20,2,3,245,392627013,1.0,1.0,True,857022,
20,2,3,175,392823623,1.0,1.0,True,427268,
20,2,3,303,392168256,1.0,1.0,True,1383342,
20,2,3,201,391840573,1.0,1.0,True,1056970,
20,2,3,196,393151306,1.0,1.0,True,766529,
20,2,3,499,393937744,1.0,1.0,True,688467,
20,2,3,458,393347915,1.0,1.0,True,256647,
20,2,3,447,393151305,1.0,1.0,True,453382,
20,2,3,387,393478988,1.0,1.0,True,436189,
20,2,3,209,392364869,1.0,1.0,True,1125147,
20,2,3,234,392430403,1.0,1.0,True,1493845,
20,2,3,413,392495938,1.0,1.0,True,277101,
20,2,3,15,337707792,1.0,1.0,True,459060,
20,2,3,202,391906110,1.0,1.0,True,537546,
20,2,3,258,392954697,1.0,1.0,True,1087914,
20,2,3,363,392954694,1.0,1.0,True,621039,
20,2,3,279,393282380,1.0,1.0,True,560364,
20,2,3,190,392758084,1.0,1.0,True,762057,
20,2,3,231,392233792,1.0,1.0,True,792024,
20,2,3,310,392102718,1.0,1.0,True,378528,
20,2,3,53,338101010,1.0,1.0,True,654443,
20,2,3,409,392758087,1.0,1.0,True,606982,
20,2,3,327,392692550,1.0,1.0,True,658286,
20,2,3,428,392954696,1.0,1.0,True,583481,
20,2,3,486,393610060,1.0,1.0,True,1471068,
20,2,3,367,393216842,1.0,1.0,True,948319,
20,2,3,125,392168258,1.0,1.0,True,446430,
20,2,3,98,338952987,1.0,1.0,True,790770,
20,2,3,288,393347916,1.0,1.0,True,326943,
20,2,3,161,392430402,1.0,1.0,True,1108642,
20,2,3,340,392495937,1.0,1.0,True,539508,
20,2,3,207,392233795,1.0,1.0,True,983558,
20,2,3,478,393610061,1.0,1.0,True,1033082,
20,2,3,370,392889156,1.0,1.0,True,2018112,
20,2,3,223,392233793,1.0,1.0,True,567914,
20,2,3,142,392233793,1.0,1.0,True,567914,
20,2,3,180,392627011,1.0,1.0,True,841745,
20,2,3,41,337838863,1.0,1.0,True,768642,
20,2,3,111,391775037,1.0,1.0,True,979234,
20,2,3,485,393544523,1.0,1.0,True,336762,
20,2,3,79,338756378,1.0,1.0,True,604051,
20,2,3,166,392758087,1.0,1.0,True,606982,
20,2,3,439,393151306,1.0,1.0,True,766529,
20,2,3,395,393478987,1.0,1.0,True,1106271,
20,2,3,297,393413452,1.0,1.0,True,382896,
20,2,3,184,392889159,1.0,1.0,True,732596,
20,2,3,319,392692551,1.0,1.0,True,1064651,
20,2,3,252,392561475,1.0,1.0,True,1029215,
20,2,3,422,392561474,1.0,1.0,True,1461883,
20,2,3,262,392692548,1.0,1.0,True,1051608,
20,2,3,436,392954695,1.0,1.0,True,590722,
20,2,3,34,337904401,1.0,1.0,True,535958,
20,2,3,419,392889160,1.0,1.0,True,441253,
20,2,3,427,392889159,1.0,1.0,True,732596,
20,2,3,354,392889158,1.0,1.0,True,423274,
20,2,3,389,393610062,1.0,1.0,True,865160,
20,2,3,435,392889158,1.0,1.0,True,423274,
20,2,3,391,393216839,1.0,1.0,True,921016,
20,2,3,355,392954695,1.0,1.0,True,590722,
20,2,3,250,392430401,1.0,1.0,True,404730,
20,2,3,382,393151303,1.0,1.0,True,543407,
20,2,3,460,392954692,1.0,1.0,True,590208,
20,2,3,470,393085765,1.0,1.0,True,567799,
20,2,3,0,286261978,1.0,1.0,True,526220,
20,2,3,378,393413452,1.0,1.0,True,382896,
20,2,3,132,392102720,1.0,1.0,True,580715,
20,2,3,45,338101011,1.0,1.0,True,415392,
20,2,3,280,392823620,1.0,1.0,True,364354,
20,2,3,105,391906112,1.0,1.0,True,609427,
20,2,3,129,392430406,1.0,1.0,True,1042493,
20,2,3,1,286327515,1.0,1.0,True,294037,
20,2,3,300,391971645,1.0,1.0,True,802933,
20,2,3,461,393020229,1.0,1.0,True,729441,
20,2,3,213,392102720,1.0,1.0,True,580715,
20,2,3,346,392889159,1.0,1.0,True,732596,
20,2,3,329,392823624,1.0,1.0,True,910093,
20,2,3,219,392495942,1.0,1.0,True,893409,
20,2,3,467,393413451,1.0,1.0,True,447707,
20,2,3,93,338625302,1.0,1.0,True,713234,
20,2,3,151,392299329,1.0,1.0,True,752496,
20,2,3,2,286393052,1.0,1.0,True,282378,
20,2,3,157,392692551,1.0,1.0,True,1064651,
20,2,3,150,392233792,1.0,1.0,True,792024,
20,2,3,22,337642254,1.0,1.0,True,798098,
20,2,3,285,393151305,1.0,1.0,True,453382,
20,2,3,140,392102719,1.0,1.0,True,747951,
20,2,3,440,392692546,1.0,1.0,True,1516909,
20,2,3,386,393413451,1.0,1.0,True,447707,
20,2,3,177,392954697,1.0,1.0,True,1087914,
20,2,3,149,392692552,1.0,1.0,True,455258,
20,2,3,46,338166548,1.0,1.0,True,472944,
20,2,3,67,338494231,1.0,1.0,True,734484,
20,2,3,406,392561476,1.0,1.0,True,799352,
20,2,3,321,392299328,1.0,1.0,True,701035,
20,2,3,173,392692549,1.0,1.0,True,1002836,
20,2,3,216,392299331,1.0,1.0,True,1292269,
20,2,3,293,393151304,1.0,1.0,True,317661,
20,2,3,109,392168260,1.0,1.0,True,1054508,
20,2,3,69,338625305,1.0,1.0,True,698886,
20,2,3,43,337969937,1.0,1.0,True,431663,
20,2,3,31,337707790,1.0,1.0,True,416735,
20,2,3,360,392758083,1.0,1.0,True,853382,
20,2,3,372,393020230,1.0,1.0,True,539989,
20,2,3,420,392430400,1.0,1.0,True,560074,
20,2,3,116,392102722,1.0,1.0,True,423273,
20,2,3,124,392102721,1.0,1.0,True,440229,
20,2,3,187,393085770,1.0,1.0,True,502859,
20,2,3,183,392823622,1.0,1.0,True,946509,
20,2,3,49,338363159,1.0,1.0,True,581214,
20,2,3,159,392823625,1.0,1.0,True,395363,
20,2,3,185,392954696,1.0,1.0,True,583481,
20,2,3,441,392758083,1.0,1.0,True,853382,
20,2,3,493,393544522,1.0,1.0,True,1041576,
20,2,3,21,337576717,1.0,1.0,True,1273744,
20,2,3,318,392627014,1.0,1.0,True,363966,
20,2,3,239,392758088,1.0,1.0,True,304781,
20,2,3,267,393020233,1.0,1.0,True,716413,
20,2,3,453,393020230,1.0,1.0,True,539989,
20,2,3,307,392430404,1.0,1.0,True,634474,
20,2,3,16,337773329,1.0,1.0,True,634086,
20,2,3,156,392627014,1.0,1.0,True,363966,
20,2,3,260,392561474,1.0,1.0,True,1461883,
20,2,3,118,392233796,1.0,1.0,True,853322,
20,2,3,155,392561477,1.0,1.0,True,941628,
20,2,3,232,392299329,1.0,1.0,True,752496,
20,2,3,120,391840573,1.0,1.0,True,1056970,
20,2,3,336,392758086,1.0,1.0,True,575705,
20,2,3,146,392495941,1.0,1.0,True,559046,
20,2,3,91,338494228,1.0,1.0,True,1569252,
20,2,3,270,392692547,1.0,1.0,True,605477,
20,2,3,410,392299327,1.0,1.0,True,850002,
20,2,3,167,392823624,1.0,1.0,True,910093,
20,2,3,197,393216843,1.0,1.0,True,1198177,
20,2,3,205,392102721,1.0,1.0,True,440229,
20,2,3,278,393216843,1.0,1.0,True,1198177,
20,2,3,9,286851811,1.0,1.0,True,491797,
20,2,3,214,392168257,1.0,1.0,True,596118,
20,2,3,88,338821914,1.0,1.0,True,649234,
20,2,3,107,392037186,1.0,1.0,True,419866,
