L,q,F,h,T,m,s_max,s_mean,steps_to_const,is_constant,avg_mobility
20,10,3,0.5,0.7,2,0.125,0.038461538461538464,1000001,True,0.0
20,10,3,0.5,0.7,5,0.08,0.023809523809523808,1000001,True,0.0
20,10,3,0.5,0.7,7,0.115,0.027027027027027025,1000001,True,0.0
20,10,3,0.5,0.7,6,0.13,0.026315789473684213,1000001,True,0.0
20,10,3,0.5,0.7,9,0.175,0.027777777777777776,1000001,True,0.0
20,10,3,0.5,0.7,4,0.13,0.026315789473684213,1000001,True,0.0
20,10,3,0.5,0.7,10,0.11,0.024390243902439025,1000001,True,0.0
20,10,3,0.5,0.7,8,0.155,0.027027027027027025,1000001,True,0.0
20,10,3,0.5,0.7,3,0.065,0.024390243902439025,1000001,True,0.0
30,10,3,0.05,0.3,1,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.3,2,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.3,3,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.3,5,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.3,6,0.9964912280701754,0.5,1000001,True,0.0
30,10,3,0.05,0.3,4,1.0,1.0,1000001,True,0.0
30,10,3,0.5,0.3,2,0.6733333333333333,0.1111111111111111,1000001,True,0.0
30,10,3,0.5,0.3,1,0.28888888888888886,0.05555555555555555,1000001,True,0.0
30,10,3,0.05,0.3,7,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.3,8,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.3,9,0.9988304093567252,0.5,1000001,True,0.0
30,10,3,0.05,0.3,10,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.7,1,0.8596491228070176,0.5,1000001,True,0.0
30,10,3,0.05,0.7,2,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.7,3,0.9847953216374269,0.5,1000001,True,0.0
30,10,3,0.05,0.7,4,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.7,7,0.968421052631579,0.3333333333333333,1000001,True,0.0
30,10,3,0.05,0.7,8,0.9836257309941521,0.5,1000001,True,0.0
30,10,3,0.05,0.7,6,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.7,9,1.0,1.0,1000001,True,0.0
30,10,3,0.05,0.7,5,1.0,1.0,1000001,True,0.0
