width,N,q,F,h,T,seed,s_max,s_mean,steps_to_freeze,is_frozen,avg_mobility
30,900,800,3,0.5,0.2,14272082526189283155,0.0022222222222222222,0.0022222222222222222,1800000,True,1.0
40,1600,1600,3,0.05,0.5,16375895934141568812,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
40,1600,80,3,0.5,0.2,1516217911014423827,0.00125,0.00125,3200001,True,1.0
10,100,160,3,0.05,0.8,11246438051279813731,0.05263157894736842,0.013157894736842105,566040,True,0.6952947368421053
40,1600,400,3,0.05,0.5,8051088148955762582,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
40,1600,120,3,0.5,0.2,12492697111168622096,0.00125,0.00125,3200001,True,1.0
30,900,8000,3,0.5,0.5,18114057926433217219,0.0022222222222222222,0.0022222222222222222,1800000,True,1.0
40,1600,800,3,0.5,0.2,17632555608602149162,0.00125,0.00125,3200001,True,1.0
10,100,2400,3,0.5,0.5,15173966405803272056,0.02,0.02,200000,True,1.0
40,1600,300,3,0.05,0.5,13863190577803777000,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
10,100,4800,3,0.05,0.8,4034995713265068314,0.010526315789473684,0.010526315789473684,200000,True,1.0
20,400,4800,3,0.05,0.2,12176890830130815941,0.002631578947368421,0.002631578947368421,800002,True,1.0
40,1600,1600,3,0.5,0.8,8710010051705643257,0.0075,0.0021551724137931034,16580598,True,0.32034875
30,900,120,3,0.5,0.5,5175253477169299298,0.0044444444444444444,0.0022271714922048997,5681023,True,0.9993933333333332
40,1600,300,3,0.05,0.2,9100652179480523613,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
10,100,40,3,0.5,0.5,14157766093567519597,0.02,0.02,754962,True,0.9838
40,1600,200,3,0.05,0.5,17264602498513140283,0.0006578947368421052,0.0006578947368421052,3200002,True,1.0
40,1600,1200,3,0.5,0.8,10966765963834128268,0.0075,0.002369668246445498,13355057,True,0.24701124999999996
30,900,4800,3,0.5,0.5,1072959903222734110,0.0022222222222222222,0.0022222222222222222,1800001,True,1.0
30,900,200,3,0.5,0.8,1062482946168691415,0.024444444444444446,0.0071428571428571435,4213433,True,0.024437777777777774
10,100,600,3,0.5,0.5,15986678793178241375,0.02,0.02,200001,True,1.0
20,400,400,3,0.05,0.5,7377546303425772264,0.002631578947368421,0.002631578947368421,800000,True,1.0
30,900,8000,3,0.5,0.8,18353614939443586715,0.006666666666666667,0.0024330900243309003,7539399,True,0.8311111111111114
30,900,160,3,0.5,0.5,1398074943447275716,0.0022222222222222222,0.0022222222222222222,2874721,True,0.9997688888888889
10,100,80,3,0.05,0.8,11362524419951385688,0.09473684210526316,0.028571428571428574,629567,True,0.14736842105263157
30,900,2400,3,0.05,0.5,10985961175825081962,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
40,1600,800,3,0.5,0.8,13123875059414222813,0.01125,0.0029585798816568047,13257091,True,0.13296500000000003
10,100,80,3,0.05,0.2,13564579424422448636,0.010526315789473684,0.010526315789473684,200000,True,1.0
30,900,4800,3,0.05,0.8,15405862096147009457,0.0011695906432748538,0.0011695906432748538,1800000,True,0.9999976608187134
30,900,120,3,0.05,0.5,11619705247459460572,0.0011695906432748538,0.0011695906432748538,1800000,True,0.9999988304093568
30,900,1200,3,0.5,0.8,18223728991912716706,0.011111111111111112,0.0034602076124567475,5954050,True,0.3937755555555556
20,400,120,3,0.5,0.5,3472445647473732349,0.005,0.005,1557586,True,0.9990699999999999
10,100,600,3,0.5,0.8,17930114241859120218,0.04,0.02127659574468085,237197,True,0.8800000000000002
40,1600,3200,3,0.5,0.8,3523159715611348453,0.005,0.0017123287671232876,18811873,True,0.5162450000000001
30,900,20,3,0.5,0.8,13481434657426988263,0.03111111111111111,0.010309278350515465,1156834,True,0.0
20,400,40,3,0.5,0.5,2509340170978293225,0.255,0.045454545454545456,14815513,True,0.026895000000000006
20,400,80,3,0.5,0.8,6824360958396714043,0.045,0.017543859649122806,1399572,True,0.01
30,900,160,3,0.05,0.8,14670526690925949837,0.03625730994152047,0.00704225352112676,15162595,True,0.021021052631578954
20,400,400,3,0.05,0.8,1454561966761883835,0.031578947368421054,0.004975124378109453,15960818,True,0.3696973684210526
10,100,300,3,0.5,0.2,5089731916140738396,0.02,0.02,200000,True,1.0
10,100,1200,3,0.05,0.2,13583918929511845862,0.010526315789473684,0.010526315789473684,200000,True,1.0
30,900,600,3,0.05,0.2,12278711364672580576,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
30,900,160,3,0.05,0.5,16445075145243991725,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
40,1600,300,3,0.5,0.8,13858992083148079570,0.015,0.004149377593360996,8293508,True,0.0262475
20,400,1200,3,0.05,0.8,9477242403186477964,0.002631578947368421,0.002631578947368421,1001725,True,0.9999894736842104
10,100,300,3,0.5,0.2,2414624945311074615,0.02,0.02,200000,True,1.0
20,400,600,3,0.5,0.2,12831428450161439141,0.005,0.005,800003,True,1.0
10,100,120,3,0.05,0.2,15516959880561462183,0.010526315789473684,0.010526315789473684,200000,True,1.0
20,400,8000,3,0.05,0.8,9599358351961245548,0.002631578947368421,0.002631578947368421,800000,True,1.0
40,1600,300,3,0.5,0.5,12700547022457619552,0.00125,0.00125,5398317,True,0.99996125
30,900,2400,3,0.5,0.5,4585543744561014788,0.0022222222222222222,0.0022222222222222222,1800000,True,1.0
10,100,1200,3,0.05,0.2,992778615903329148,0.010526315789473684,0.010526315789473684,200001,True,1.0
30,900,200,3,0.05,0.5,103993109542530147,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
20,400,160,3,0.05,0.8,15963619126024396552,0.039473684210526314,0.009345794392523364,6268552,True,0.1078921052631579
40,1600,8000,3,0.5,0.5,16993255401650781561,0.00125,0.00125,3200001,True,1.0
10,100,160,3,0.05,0.2,5567649425108810898,0.010526315789473684,0.010526315789473684,200000,True,1.0
20,400,40,3,0.5,0.2,17571065967528422938,0.005,0.005,800000,True,1.0
40,1600,160,3,0.05,0.5,16775751153447072138,0.0006578947368421052,0.0006578947368421052,3200000,True,0.9999993421052632
30,900,120,3,0.05,0.8,16312836756334843660,0.04678362573099415,0.008771929824561403,25834442,True,0.01052631578947369
40,1600,1600,3,0.5,0.5,1889473256667703901,0.00125,0.00125,3200001,True,1.0
40,1600,80,3,0.05,0.8,9511877288190761416,0.10921052631578948,0.00819672131147541,25130968,True,0.001970394736842105
10,100,1600,3,0.05,0.8,6733142816195422020,0.010526315789473684,0.010526315789473684,200000,True,0.9999894736842104
30,900,2400,3,0.5,0.5,8143830727592457313,0.0022222222222222222,0.0022222222222222222,1800000,True,1.0
10,100,300,3,0.5,0.5,11285422906087592054,0.02,0.02,200001,True,1.0
20,400,80,3,0.5,0.2,745702318115407237,0.005,0.005,800000,True,1.0
30,900,120,3,0.5,0.8,15963312233328375029,0.02666666666666667,0.008547008547008548,3545437,True,0.007711111111111111
10,100,80,3,0.5,0.2,2939801604495422588,0.02,0.02,200002,True,1.0
10,100,4800,3,0.5,0.5,5206360958390242536,0.02,0.02,200000,True,1.0
30,900,120,3,0.05,0.8,3945651643423531091,0.0304093567251462,0.008695652173913044,12929851,True,0.00935672514619883
30,900,200,3,0.05,0.8,7618680136191976774,0.029239766081871343,0.006451612903225807,29540371,True,0.03391812865497074
40,1600,1200,3,0.5,0.2,1499026055553738145,0.00125,0.00125,3200001,True,1.0
20,400,120,3,0.5,0.5,17141940991341388304,0.01,0.005025125628140703,1026305,True,0.99948
20,400,160,3,0.05,0.2,11909444045751720591,0.002631578947368421,0.002631578947368421,800000,True,1.0
20,400,2400,3,0.05,0.2,1728925228588436624,0.002631578947368421,0.002631578947368421,800000,True,1.0
10,100,200,3,0.5,0.8,12962125461473250430,0.1,0.027027027027027025,297982,True,0.54
20,400,2400,3,0.5,0.8,14606721614995677314,0.015,0.005747126436781609,1729137,True,0.75001
20,400,8000,3,0.5,0.8,14436829846502497682,0.01,0.005181347150259067,1235153,True,0.9299999999999998
10,100,800,3,0.05,0.8,13049746643469042598,0.010526315789473684,0.010526315789473684,200000,True,1.0
10,100,80,3,0.5,0.5,4657925643958315004,0.02,0.02,200003,True,1.0
10,100,10,3,0.05,0.2,5474812099440076462,0.010526315789473684,0.010526315789473684,200000,True,1.0
30,900,800,3,0.5,0.8,11508368890586812397,0.011111111111111112,0.003861003861003861,5520533,True,0.3077533333333333
30,900,80,3,0.05,0.5,3372679194610505820,0.0011695906432748538,0.0011695906432748538,1800000,True,0.9999988304093568
40,1600,8000,3,0.5,0.8,15343895031150725939,0.005,0.00145985401459854,20557822,True,0.7349999999999999
30,900,3200,3,0.05,0.5,16323994857032000451,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
10,100,200,3,0.5,0.5,7808891210314772671,0.02,0.02,200001,True,1.0
20,400,20,3,0.5,0.5,14053037762168547202,0.11,0.05555555555555555,4944923,True,0.015160000000000007
40,1600,8000,3,0.05,0.5,4349151244745280377,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
30,900,20,3,0.05,0.8,3926560440687895870,0.1871345029239766,0.02564102564102564,4270873,True,0.0
20,400,3200,3,0.05,0.5,8001390492254383160,0.002631578947368421,0.002631578947368421,800001,True,1.0
20,400,4800,3,0.05,0.8,13041214440081479710,0.002631578947368421,0.002631578947368421,800000,True,0.9999921052631577
40,1600,80,3,0.05,0.2,11950695696369741537,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
20,400,10,3,0.5,0.5,719427283600294932,0.235,0.07142857142857144,3968100,True,0.0
30,900,40,3,0.05,0.5,17779601098432544145,0.0011695906432748538,0.0011695906432748538,1862848,True,0.9999976608187134
10,100,80,3,0.5,0.5,15994000694109157423,0.02,0.02,200001,True,1.0
40,1600,160,3,0.05,0.8,2828938038656302522,0.02894736842105263,0.00558659217877095,44970961,True,0.006578947368421051
10,100,10,3,0.5,0.2,10356611966934998762,0.02,0.02,200001,True,1.0
30,900,8000,3,0.05,0.2,15857614834024091974,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
20,400,600,3,0.5,0.8,11456582992718038420,0.02,0.007692307692307693,2028802,True,0.37999999999999995
30,900,40,3,0.05,0.5,14450406134096416750,0.0011695906432748538,0.0011695906432748538,5375664,True,0.9999918128654972
10,100,3200,3,0.5,0.5,14929323517713814626,0.02,0.02,200001,True,1.0
20,400,10,3,0.05,0.2,5757627795775645259,0.005263157894736842,0.002638522427440633,800000,True,1.0
40,1600,1200,3,0.5,0.5,18171861001651730732,0.00125,0.00125,3200000,True,1.0
10,100,200,3,0.05,0.2,11553307516196011443,0.010526315789473684,0.010526315789473684,200000,True,1.0
40,1600,3200,3,0.05,0.2,15834378294750924498,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
30,900,40,3,0.5,0.8,5753645163120730099,0.02666666666666667,0.008695652173913044,1184502,True,0.0
40,1600,2400,3,0.5,0.8,8785847435639647056,0.00625,0.00186219739292365,15151142,True,0.424685
40,1600,20,3,0.05,0.8,16185064881825807991,0.3335526315789474,0.023809523809523808,24148970,True,0.0
30,900,40,3,0.5,0.8,18258275767334284861,0.022222222222222223,0.009523809523809523,1099205,True,0.0
40,1600,1600,3,0.5,0.5,9372014223617860547,0.00125,0.00125,3200001,True,1.0
30,900,4800,3,0.05,0.2,9322344265907159045,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
20,400,120,3,0.5,0.2,2074063760007213065,0.005,0.005,800000,True,1.0
40,1600,300,3,0.05,0.8,2535640869850246103,0.030263157894736843,0.00392156862745098,64723400,True,0.029478947368421052
30,900,600,3,0.05,0.2,14642799010256279413,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
10,100,3200,3,0.05,0.2,3823545877927323820,0.010526315789473684,0.010526315789473684,200000,True,1.0
30,900,600,3,0.5,0.5,7168128497606723544,0.0022222222222222222,0.0022222222222222222,1800000,True,1.0
40,1600,3200,3,0.05,0.8,2116570230518304197,0.0013157894736842105,0.0006587615283267457,4843432,True,0.9973677631578944
30,900,4800,3,0.05,0.5,8567616403301918875,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
40,1600,2400,3,0.05,0.5,14692830356793867451,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
10,100,4800,3,0.05,0.5,11221134293909374475,0.010526315789473684,0.010526315789473684,200000,True,1.0
30,900,120,3,0.5,0.8,17289321589749742703,0.02,0.007874015748031496,3332223,True,0.006666666666666667
30,900,400,3,0.5,0.8,2902040766534200479,0.015555555555555555,0.005617977528089888,5852622,True,0.10567999999999998
20,400,1600,3,0.05,0.8,304065674679256884,0.005263157894736842,0.002638522427440633,800000,True,0.9966684210526316
30,900,800,3,0.5,0.5,4564123505891394491,0.0022222222222222222,0.0022222222222222222,1800001,True,1.0
20,400,80,3,0.05,0.5,16128273597976466211,0.002631578947368421,0.002631578947368421,800000,True,0.9999973684210527
20,400,2400,3,0.5,0.2,2728852621846185212,0.005,0.005,800000,True,1.0
20,400,300,3,0.05,0.8,7988058076522890151,0.03684210526315789,0.005780346820809248,8301033,True,0.29694473684210526
20,400,800,3,0.5,0.8,11017286844987923960,0.025,0.006944444444444444,2054005,True,0.49000000000000016
20,400,1200,3,0.5,0.2,5096894358777122878,0.005,0.005,800001,True,1.0
20,400,160,3,0.5,0.2,15045369105848267,0.005,0.005,800001,True,1.0
30,900,200,3,0.5,0.5,10887603252526653514,0.0022222222222222222,0.0022222222222222222,3109719,True,0.99992
40,1600,4800,3,0.05,0.8,4828523275284253266,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
20,400,3200,3,0.5,0.5,17855633943274998224,0.005,0.005,800002,True,1.0
30,900,600,3,0.05,0.2,11865962854013940840,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
20,400,1600,3,0.5,0.8,9751576431317839500,0.015,0.005780346820809249,1758027,True,0.743585
20,400,800,3,0.05,0.8,12573068713558413129,0.005263157894736842,0.002666666666666667,2141690,True,0.9778947368421055
40,1600,40,3,0.05,0.2,15266703247193383223,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
30,900,300,3,0.05,0.8,1420006954624933670,0.0304093567251462,0.005076142131979695,52368694,True,0.05990994152046783
30,900,3200,3,0.05,0.5,4744842128568313482,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
20,400,200,3,0.05,0.2,3213527419375535383,0.002631578947368421,0.002631578947368421,800000,True,1.0
30,900,120,3,0.05,0.5,11566308175620320616,0.0011695906432748538,0.0011695906432748538,1800000,True,0.9999988304093568
20,400,160,3,0.5,0.5,18422537903651407823,0.01,0.005025125628140703,817427,True,0.999845
30,900,40,3,0.5,0.5,8597448323917466250,0.10444444444444445,0.029411764705882353,35232095,True,0.0022222222222222222
10,100,400,3,0.05,0.8,1841847231543543323,0.021052631578947368,0.01075268817204301,363023,True,0.9578421052631579
30,900,20,3,0.5,0.5,1113124392607478785,0.02666666666666667,0.002369668246445498,100000000,False,-1.0
30,900,400,3,0.05,0.2,13416315182312597794,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
40,1600,8000,3,0.05,0.2,1762028487883292040,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
30,900,160,3,0.05,0.5,9388567590562103716,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
20,400,8000,3,0.5,0.2,6482041958897268618,0.005,0.005,800000,True,1.0
20,400,80,3,0.05,0.2,6633474855501602343,0.002631578947368421,0.002631578947368421,800000,True,1.0
10,100,80,3,0.5,0.2,888399817529385362,0.02,0.02,200000,True,1.0
10,100,200,3,0.5,0.5,9769181691712646933,0.02,0.02,200001,True,1.0
20,400,800,3,0.05,0.2,7689935021284166359,0.002631578947368421,0.002631578947368421,800000,True,1.0
40,1600,4800,3,0.5,0.2,1153708895644518144,0.00125,0.00125,3200000,True,1.0
10,100,2400,3,0.05,0.8,4286795429103817041,0.010526315789473684,0.010526315789473684,200000,True,1.0
20,400,800,3,0.5,0.2,5627411305787720077,0.005,0.005,800000,True,1.0
20,400,20,3,0.5,0.2,8716810011139779719,0.005,0.005,800004,True,0.99997
10,100,8000,3,0.05,0.8,6604603709290470612,0.010526315789473684,0.010526315789473684,200000,True,1.0
10,100,300,3,0.05,0.2,3011099051123194163,0.010526315789473684,0.010526315789473684,200000,True,1.0
40,1600,600,3,0.5,0.5,4465219232515354594,0.00125,0.00125,3200002,True,0.99998875
40,1600,40,3,0.05,0.2,10810649545148661450,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
40,1600,20,3,0.5,0.5,12140674963098401802,0.0025,0.0012804097311139564,100000000,False,-1.0
30,900,10,3,0.05,0.2,1585225430702202989,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
30,900,400,3,0.5,0.8,1762898103673886152,0.015555555555555555,0.0055248618784530384,5221984,True,0.13777777777777778
20,400,200,3,0.5,0.8,8044484196845357166,0.035,0.011764705882352941,1375700,True,0.125
10,100,10,3,0.05,0.2,10435772521141412050,0.021052631578947368,0.010638297872340427,200000,True,1.0
20,400,40,3,0.5,0.5,7911475495369003041,0.18,0.04,10400761,True,0.023875000000000007
30,900,400,3,0.05,0.2,10978417238593061646,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
20,400,1600,3,0.5,0.8,3888667783888686600,0.015,0.005813953488372093,1429825,True,0.743975
10,100,400,3,0.5,0.5,9448599140897739502,0.02,0.02,200000,True,1.0
20,400,300,3,0.05,0.2,5464733626810386401,0.002631578947368421,0.002631578947368421,800000,True,1.0
20,400,10,3,0.05,0.5,3366946103457329394,0.005263157894736842,0.002666666666666667,100000000,False,-1.0
10,100,10,3,0.05,0.5,419199583074063920,0.021052631578947368,0.010638297872340427,100000000,False,-1.0
30,900,10,3,0.5,0.5,17276613223998117760,0.02,0.0024330900243309003,100000000,False,-1.0
10,100,400,3,0.5,0.2,17468867211878538475,0.02,0.02,200000,True,1.0
40,1600,8000,3,0.5,0.2,13494208471131166690,0.00125,0.00125,3200000,True,1.0
10,100,20,3,0.5,0.8,13918624102454594389,0.16,0.07142857142857144,221202,True,0.02
20,400,1200,3,0.05,0.8,18079916817740230117,0.005263157894736842,0.002638522427440633,903022,True,0.9947315789473684
20,400,3200,3,0.05,0.8,17231375036606084972,0.002631578947368421,0.002631578947368421,800000,True,0.9999973684210527
10,100,2400,3,0.05,0.8,2345031959668547856,0.010526315789473684,0.010526315789473684,200000,True,1.0
20,400,4800,3,0.5,0.5,4576701768476468835,0.005,0.005,800000,True,1.0
10,100,600,3,0.05,0.2,7271367565352983297,0.010526315789473684,0.010526315789473684,200000,True,1.0
10,100,8000,3,0.05,0.2,5004848123804335049,0.010526315789473684,0.010526315789473684,200000,True,1.0
30,900,80,3,0.05,0.8,10840713897112088490,0.05263157894736842,0.010101010101010102,9744500,True,0.008183625730994152
30,900,40,3,0.5,0.5,12320752802351043781,0.09777777777777778,0.027027027027027025,72680713,True,0.007148888888888889
20,400,40,3,0.5,0.5,7579568027640167510,0.15,0.047619047619047616,9815169,True,0.021520000000000004
20,400,2400,3,0.5,0.5,13379269629341172618,0.005,0.005,800001,True,1.0
10,100,2400,3,0.5,0.2,12607757226421660886,0.02,0.02,200000,True,1.0
30,900,300,3,0.5,0.8,2531813211633181063,0.017777777777777778,0.006622516556291391,5057138,True,0.06666666666666665
20,400,2400,3,0.05,0.8,2420339181593066957,0.002631578947368421,0.002631578947368421,800000,True,1.0
10,100,120,3,0.05,0.2,8798983339503234763,0.010526315789473684,0.010526315789473684,200000,True,1.0
