C,F,L,N,alpha,converged,degree_variance,dev_mode,dev_param,dis_threshold,elapsed_s,final_rewire_rate,k,max_steps,mean_dissatisfaction,num_clusters,p,q,s_max,seed,total_steps,trial_id,weight_mode
0.09833140040787096,5,3.199974622509834,150,0.5,False,20.07128888888891,0,0.15,0.3,7.46073679998517,-1.0,4,5000000,0.23449162234788515,70,0.05,10,0.10666666666666667,42,5000000,d14c3e623990,0
0.04667195767195766,5,2.288822205551388,150,0.5,False,8.073066666666662,2,0.15,0.3,7.071502999984659,-1.0,4,5000000,3.133422337535456e-05,78,0.05,10,0.25333333333333335,42,5000000,261bee6eec53,0
0.04626511974338061,5,3.6570480928689886,150,0.5,False,11.829155555555552,3,0.15,0.3,7.45649979999871,-1.0,4,5000000,0.2184612526267302,51,0.05,10,0.19333333333333333,42,5000000,61a91067e28b,0
0.04746300039947952,5,3.316623990545598,150,0.5,False,22.466666666666665,0,0.15,0.3,7.36032370000612,-1.0,4,5000000,0.006454226976634688,7,0.05,10,0.9533333333333334,42,5000000,457dd82bd372,2
0.09061917562724013,5,3.34006734006734,150,0.5,False,7.653333333333335,2,0.15,0.3,7.12671430001501,-1.0,4,5000000,0.00015959227337468388,66,0.05,10,0.3933333333333333,42,5000000,0a4f0bd1bf66,2
0.05038477340020117,5,3.5613642717360916,150,0.5,False,19.99448888888886,3,0.15,0.3,7.470784300006926,-1.0,4,5000000,0.00268550787512256,4,0.05,10,0.98,42,5000000,4279ffc8e5fb,2
0.01002212602212602,5,3.5271325796505653,150,0.5,False,5.826666666666667,0,0.15,0.3,7.440603600000031,-1.0,4,5000000,0.0,11,0.05,10,0.9333333333333333,42,5000000,e890282bf8f5,3
0.08732761253083836,5,2.3581715716969316,150,0.5,False,14.891733333333331,2,0.15,0.3,6.941500400018413,-1.0,4,5000000,0.0,93,0.05,10,0.38,42,5000000,efac5e5de4a5,3
0.026962481962481966,5,3.4681053633767056,150,0.5,False,5.746666666666667,3,0.15,0.3,7.436607300012838,-1.0,4,5000000,0.0,13,0.05,10,0.92,42,5000000,5dfc41f3d56f,3
0.12416876960802112,5,3.2057398434588147,150,0.5,False,20.733333333333334,0,0.15,0.5,7.41545169998426,-1.0,4,5000000,0.08419048269589742,3,0.05,10,0.98,42,5000000,54696133e973,0
